id,apelido,nome_completo,slug,clube,clube_id,posicao,posicao_id
110426,Bernabei,Alexandro Ezequiel Bernabei,bernabei,INT,285,Lateral,2
51413,Walter,Walter Leandro Capeloza Artune,walter,MIR,2305,Goleiro,1
89837,Lucho Acosta,Luciano Federico Acosta,lucho-acosta,FLU,266,Meia,4
99552,Rossi,Agustín Daniel Rossi,rossi,FLA,262,Goleiro,1
97900,Vitão,Vitor Eduardo da Silva Matos,vitao,FLA,262,Zagueiro,3
130843,Arthur Dias,Arthur dos Santos Barbosa Dias,arthur-dias,CAP,293,Zagueiro,3
130414,Robert,Robert dos Santos Conceição,robert,CHA,315,Meia,4
89274,Andreas Pereira,Andreas Hugo Hoelgebaum Pereira,andreas-pereira,PAL,275,Meia,4
112709,Kaiki Bruno,Kaiki Bruno da Silva,kaiki-bruno,CRU,283,Lateral,2
123625,Ítalo,Italo de Vargas da Rosa,italo,CHA,315,Atacante,5
68708,Eduardo,Carlos Eduardo de Oliveira Alves,eduardo,MIR,2305,Meia,4
130619,Mailson,Mailson Bezerra Silva,mailson,CHA,315,Atacante,5
130806,Kauan,Kauan Faria Gomes,kauan,CHA,315,Zagueiro,3
39148,Hulk,Givanildo Vieira de Souza,hulk,CAM,282,Atacante,5
140438,David,David Antunes da Silva,david,CHA,315,Meia,4
124674,Felipe Negrucci,Felipe Negrucci Berdague,felipe-negrucci,SAO,276,Meia,4
100652,Yuri Alberto,Yuri Alberto Monteiro da Silva,yuri-alberto,COR,264,Atacante,5
80287,Luciano,Luciano da Rocha Neves,luciano,SAO,276,Atacante,5
141776,Gustavo Henrique,Gustavo Henrique Pereira,gustavo-henrique,SAN,277,Meia,4
78850,Reinaldo,Reinaldo Manoel da Silva,reinaldo,MIR,2305,Lateral,2
89368,Braithwaite,Martin Christensen Braithwaite,braithwaite,GRE,284,Atacante,5
133673,Mateus Xavier,Mateus Xavier de Sousa,mateus-xavier,SAN,277,Atacante,5
147297,William Fernando,William Fernando Soares de Almeida,william-fernando,CRU,283,Lateral,2
115025,Miguelito,Miguel Àngel Terceros,miguelito,SAN,277,Meia,4
142049,Bruno Alves,Bruno Ferreira Alves,bruno-alves,CRU,283,Zagueiro,3
123649,Janderson,José Janderson da Silva Marques,janderson,CRU,283,Zagueiro,3
142130,Marcelo Eráclito,Marcelo Eráclito de Souza Filho,marcelo-eraclito,CRU,283,Goleiro,1
144423,Nicolas Pontes,Nicolas Pontes de Souza Almeida,nicolas-pontes,CRU,283,Lateral,2
117842,Vitinho,Vitor Hugo Amorim de Assis,vitinho,CRU,283,Meia,4
51772,Everton Ribeiro,Everton Augusto de Barros Ribeiro,everton-ribeiro,BAH,265,Meia,4
106104,Enamorado,José David Enamorado Gómez,enamorado,GRE,284,Atacante,5
103445,Kaio Jorge,Kaio Jorge Pinto Ramos,kaio-jorge,CRU,283,Atacante,5
146991,Rhuan Gabriel,Rhuan Gabriel Rodrigues de Souza Silva,rhuan-gabriel,CRU,283,Meia,4
128433,Johan Rojas,Johan Rojas Echavarría,johan-rojas,VAS,267,Meia,4
114802,Vitor Roque,Vitor Hugo Roque Ferreira,vitor-roque,PAL,275,Atacante,5
86292,Bolasie,Yannick Bolasie,bolasie,CHA,315,Atacante,5
147287,Kaiquy Luiz,Kaiquy Luiz Alves Vasco,kaiquy-luiz,CRU,283,Zagueiro,3
126471,Barreal,Álvaro Martín Barreal,barreal,SAN,277,Meia,4
101908,Willian Machado,Willian Estefani Machado,willian-machado,MIR,2305,Zagueiro,3
126182,Paulinho,Paulo Lucas Santos de Paula,paulinho,INT,285,Meia,4
78946,Dória,Matheus Dória Macedo,doria,SAO,276,Zagueiro,3
91639,Igor Cariús,Igor Aquino da Silva,igor-carius,MIR,2305,Lateral,2
108713,Galeano,Antonio Javier Galeano Ferreira,galeano,MIR,2305,Atacante,5
81121,Lucas Mugni,Lucas Andrés Mugni,lucas-mugni,MIR,2305,Meia,4
94583,Pedro,Pedro Guilherme Abreu dos Santos,pedro,FLA,262,Atacante,5
118655,Saldivia,Alan Gabriel Saldivia Vázquez,saldivia,VAS,267,Zagueiro,3
115986,Denilson,Denilson Alves Borges,denilson,MIR,2305,Meia,4
124758,Gustavo Henrique,Gustavo Henrique da Silva,gustavo-henrique,RBB,280,Zagueiro,3
112367,Thalisson Gabriel,Thalisson Gabriel Pereira Moreira,thalisson-gabriel,REM,364,Zagueiro,3
133696,Wallace Davi,Wallace Davi Nunes da Silva Dias,wallace-davi,BOT,263,Meia,4
131516,JP Chermont,João Pedro Chermont Crema,jp-chermont,CFC,294,Lateral,2
94514,Lucas Oliveira,Lucas da Cruz Oliveira,lucas-oliveira,MIR,2305,Zagueiro,3
130280,Phillipe Gabriel,Phillipe Gabriel Pires de Oliveira,phillipe-gabriel,VAS,267,Goleiro,1
145400,Cauê,Cauê Nascimento Santos,caue,RBB,280,Lateral,2
126120,Marcelinho,Marcelo Braz da Silva,marcelinho,RBB,280,Meia,4
90061,Bruno Pacheco,Bruno de Jesus Pacheco,bruno-pacheco,CHA,315,Lateral,2
107093,Luciano Juba,Luciano Batista da Silva Júnior,luciano-juba,BAH,265,Lateral,2
132412,Román Gómez,Román Agustín Gómez,roman-gomez,BAH,265,Lateral,2
93988,Breno Lopes,Breno Henrique Vasconcelos Lopes,breno-lopes,CFC,294,Atacante,5
94154,Maycon,Maycon de Andrade Barberan,maycon,CAM,282,Meia,4
102909,Luan,Luan Vinícius da Silva Santos,luan,SAO,276,Meia,4
130048,Noriega,Erick Carlos Noriega Loret de Mola,noriega,GRE,284,Zagueiro,3
70666,Marllon,Marllon Gonçalves Jerônimo Borges,marllon,REM,364,Zagueiro,3
147090,Kauã Pascini,Kauã Pascini Resende,kaua-pascini,CAM,282,Lateral,2
141131,Vitão,Vitor Fernandes Chaves Teixeira,vitao,CAM,282,Zagueiro,3
141139,Mateus Iseppe,Mateus José Iseppe,mateus-iseppe,CAM,282,Meia,4
146894,João Bom,João Henrique Araújo Bom,joao-bom,CHA,315,Atacante,5
100342,Léo Andrade,Leonardo de Andrade Silva,leo-andrade,REM,364,Zagueiro,3
70449,Gabriel,Gabriel Vasconcelos Ferreira,gabriel,VIT,287,Goleiro,1
83433,Patrick,Patrick Bezerra do Nascimento,patrick,REM,364,Meia,4
103183,Andrew,Andrew da Silva Ventura,andrew,FLA,262,Goleiro,1
89256,Gerson,Gerson Santos da Silva,gerson,CRU,283,Meia,4
141873,Jacaré,João Vitor Barros Silva,jacare,COR,264,Lateral,2
69208,Gabriel Paulista,Gabriel Armando de Abreu,gabriel-paulista,COR,264,Zagueiro,3
91251,Rodrigues,Antônio Josenildo Rodrigues de Oliveira,rodrigues,MIR,2305,Zagueiro,3
116034,Victor Hugo,Victor Hugo Gomes Silva,victor-hugo,CAM,282,Meia,4
106302,Preciado,Ángelo Smit Preciado Quiñónez,preciado,CAM,282,Lateral,2
105089,Tetê,Mateus Cardoso Lemos Martins,tete,GRE,284,Atacante,5
123689,Milans,Pedro Milans Carámbula,milans,COR,264,Lateral,2
141614,Paulinho,Paulo Sérgio Venuto Bezerra,paulinho,SAO,276,Atacante,5
106708,Igor Formiga,Igor Marques Paciência Cardoso,igor-formiga,MIR,2305,Lateral,2
103388,Emmanuel Martínez,Leandro Emmanuel Martínez,emmanuel-martinez,VIT,287,Meia,4
147864,Rafael Monti,Rafael Monti Azpiazú,rafael-monti,REM,364,Atacante,5
105157,Villagra,Rodrigo Román Villagra,villagra,INT,285,Meia,4
147194,Bruninho,Bruno Braga Ramos,bruninho,CAP,293,Meia,4
71536,Luiz Gustavo,Luiz Gustavo Dias,luiz-gustavo,CAP,293,Meia,4
142265,Dell,Wendeson Wanderley Santos de Melo,dell,BAH,265,Atacante,5
146374,Gilberto,Gilberto Junior Leite dos Santos,gilberto,CAP,293,Lateral,2
95362,Cassierra,Zander Mateo Casierra Cabezas,cassierra,CAM,282,Atacante,5
110633,Gustavo,Gustavo Silva de Oliveira,gustavo,CFC,294,Meia,4
122554,Freitas,Francisco José Freire de Freitas,freitas,REM,364,Meia,4
113125,Picco,Leonel Marcelo Picco,picco,REM,364,Meia,4
